"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@ThatSlutAdrian [[bitch]] those are the same options","@ThatSlutAdrian [[x]] those are the same options",0.010520517826080322,0.9809377789497375,1,2,1,36,"Successful"
"[[City]] [[highway]] [[skyscrapers]] [[building]] [[lights]] [[yellow]] blue [[http]]://t.co/[[kOC9uYBFqV]]","[[trade]] [[centers]] [[are]] [[colored]] [[dark]] [[dark]] blue [[country]]://t.co/[[pdf]]",0.015101134777069092,0.31293612718582153,2,2,2,272,"Failed"
"&#8220;@ZvckSlvt3r704: My sister [[shittin]] on you hos once again ""@VSamone: wodeh [[bout]] dat action http://t.co/nzHXA8GuA5""&#8221;&#128536;&#128536;&#128536;","&#8220;@ZvckSlvt3r704: My sister [[puts]] on you hos once again ""@VSamone: wodeh [[ine]] dat action http://t.co/nzHXA8GuA5""&#8221;&#128536;&#128536;&#128536;",0.032830655574798584,0.1137734055519104,1,1,1,32,"Failed"
"[[See]] niggas they be [[mad]] and all these [[hoes]] [[go]] &#128584;","[[fucking]] niggas they be [[white]] and all these [[guns]] [[red]] &#128584;",0.12725406885147095,0.5892149209976196,1,0,1,101,"Successful"
"@peighxo @baestation [[bitch]] got arms like piccolo","@peighxo @baestation [[s]] got arms like piccolo",0.009243547916412354,0.981995701789856,1,2,1,28,"Successful"
"RT @_[[TommyCollins]]: @WeAreRichnow @buffalobills [[yeah]] Texans are so [[much]] better you fucking retard","RT @_[[u]]: @WeAreRichnow @buffalobills [[white]] Texans are so [[sick]] better you fucking retard",0.2290055751800537,0.5417718887329102,1,0,1,95,"Successful"
"just [[saw]] the [[words]] ""tinker tailor soldier [[spy]]"" and [[muttered]] ""no"" [[aloud]] @[[jennyyhernandez]] @[[chellyhernandez]]","just [[asked]] the [[term]] ""tinker tailor soldier [[soldiers]]"" and [[asked]] ""no"" [[like]] @[[war]] @[[shit]]",0.025370240211486816,0.8999404907226562,2,1,2,230,"Successful"
"I think you've made it clear that these [[hoes]] ain't loyal","I think you've made it clear that these [[children]] ain't loyal",0.007828950881958008,0.9867773652076721,1,2,1,52,"Successful"
"@illest_will @djdynamiq @edrobersonsf @sarahliz_sf TOP NOTCH [[bitches]]","@illest_will @djdynamiq @edrobersonsf @sarahliz_sf TOP NOTCH [[game]]",0.010773301124572754,0.9843204617500305,1,2,1,50,"Successful"
"I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;","I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;",0.7052497267723083,0.7052497267723083,2,2,0,1,"Skipped"
"RT @Salon: A trash-talking athlete vs. a [[violent]] congressman: Who's the real ""thug,"" here? http://t.co/[[dFNdCqWDAX]] via @joanwalsh","RT @Salon: A trash-talking athlete vs. a [[mad]] congressman: Who's the real ""thug,"" here? http://t.co/[[au]] via @joanwalsh",0.3383200764656067,0.7216963768005371,1,2,1,54,"Successful"
"@1SonofYahweh he aint a real nigger, oh my bad a real [[nigga]], but praise the sonsof satan for having not a realnigger qualitaties. Im hating?","@1SonofYahweh he aint a real nigger, oh my bad a real [[ass]], but praise the sonsof satan for having not a realnigger qualitaties. Im hating?",0.49580293893814087,0.5528284907341003,1,0,1,33,"Successful"
"Come for the brothas and other MOC about culture differences like... [[bitch]] plz","Come for the brothas and other MOC about culture differences like... [[etc]] plz",0.01579076051712036,0.884688138961792,1,2,1,18,"Successful"
"I'm officially dubbing that [[nasty]], [[un-natural]] shade of red that looks good on no [[one]] that you usually see in the ghetto ""hood red"".","I'm officially dubbing that [[hideous]], [[unnatural]] shade of red that looks good on no [[matter]] that you usually see in the ghetto ""hood red"".",0.2180209755897522,0.6382688879966736,1,2,1,27,"Successful"
"@corey_emanuel bet.... Pay back is a [[bitch]]","@corey_emanuel bet.... Pay back is a [[treasure]]",0.012319445610046387,0.9788316488265991,1,2,1,47,"Successful"
"im a [[hoe]] for forgetting my umbrella","im a [[monster]] for forgetting my umbrella",0.017203867435455322,0.9813766479492188,1,2,1,52,"Successful"
"Y'all niggas [[ain't]] talking [[bout]] nothin.. [[Not]] a thang, not a not a thang hoe","Y'all niggas [[are]] talking [[like]] nothin.. [[not]] a thang, not a not a thang hoe",0.06802493333816528,0.1494079828262329,1,1,1,56,"Failed"
"Justin Bieber fakes his permanent bitch face and it [[bugs]] the [[shit]] out of me.","Justin Bieber fakes his permanent bitch face and it [[ches]] the [[fuck]] out of me.",0.0121498703956604,0.04278010129928589,1,1,1,25,"Failed"
"RT @Mikey_D15: This Sam guy is a fucking [[pussy]].","RT @Mikey_D15: This Sam guy is a fucking [[racist]].",0.04624783992767334,0.6374292373657227,1,0,1,56,"Successful"
"RT @thereal_EMandM: [[Yankee]] [[Doodle]] had a farm. Cotton [[farm]]","RT @thereal_EMandM: [[kie]] [[daddy]] had a farm. Cotton [[shit]]",0.016625285148620605,0.9961726665496826,2,1,2,110,"Successful"
"""@KeyshawnSwag: [[Peel]] up peel up bring it back up rewind [[back]] where I'm from they [[move]] Shaq from the line"" ooooow who tf [[said]] that trash!!?","""@KeyshawnSwag: [[right]] up peel up bring it back up rewind [[to]] where I'm from they [[get]] Shaq from the line"" ooooow who tf [[killed]] that trash!!?",0.03582876920700073,0.11051827669143677,2,2,2,54,"Failed"
"RT @RickyScamp: The best [[way]] to avoid a tsunami of extramarital pussy is to wear sneakers on your daily commute. Also [[using]] the word [[sneake]]&#8230;","RT @RickyScamp: The best [[hope]] to avoid a tsunami of extramarital pussy is to wear sneakers on your daily commute. Also [[bear]] the word [[gold]]&#8230;",0.015965700149536133,0.024818122386932373,1,1,1,109,"Failed"
"[[I'm]] so [[faded]] my [[nigga]] [[I'm]] about to [[disappear]] in this [[bitch]]","[[fucking]] so [[fucking]] my [[white]] [[face]] about to [[spit]] in this [[ass]]",0.03885149955749512,0.5936973690986633,1,0,1,183,"Successful"
"RT @FunnyPicsDepot: rt if u [[remember]] when steve from 'blue clues' left us with that other [[bitch]] ass nigga joe http://t.co/AMJyeK77QA","RT @FunnyPicsDepot: rt if u [[look]] when steve from 'blue clues' left us with that other [[kicked]] ass nigga joe http://t.co/AMJyeK77QA",0.061029255390167236,0.21268415451049805,1,1,1,55,"Failed"
"RT @CheefPolo: i hate when [[bitches]] be like ""deeper, deeper"" bitch what u [[thought]] i had some spare dick in my back pocket i was saving?","RT @CheefPolo: i hate when [[females]] be like ""deeper, deeper"" bitch what u [[says]] i had some spare dick in my back pocket i was saving?",0.015394210815429688,0.022098064422607422,1,1,1,57,"Failed"
"Where's the part where Fat Amy [[goes]] err wop wobn wefo? #thingspeoplesay @FatAmyPost","Where's the part where Fat Amy [[kills]] err wop wobn wefo? #thingspeoplesay @FatAmyPost",0.1276189088821411,0.7054510116577148,2,1,2,58,"Successful"
"RT @ThriIIuminati: I hate when people think I'm mad or sad cause I'm not talking.. nah I'm chillin [[bitch]].","RT @ThriIIuminati: I hate when people think I'm mad or sad cause I'm not talking.. nah I'm chillin [[way]].",0.010481059551239014,0.9099864959716797,1,2,1,28,"Successful"
"""Don't make me [[make]] you fall in live with a nigga like [[meee]]..."" The birds 1&amp;2 are my favorite [[songs]] by Weeknd","""Don't make me [[cause]] you fall in live with a nigga like [[ya]]..."" The birds 1&amp;2 are my favorite [[tracks]] by Weeknd",0.04671430587768555,0.06030070781707764,1,1,1,25,"Failed"
"RT @SportsCenter: [[A]] WILD one in the [[Bronx]].<SPLIT>[[Yankees]] score 6 runs in bottom of 7th to [[take]] 8-7 lead over Red Sox.<SPLIT>The half-inning took THIRTY&#[[8230]];","RT @SportsCenter: [[hit]] WILD one in the [[pit]].<SPLIT>[[queens]] score 6 runs in bottom of 7th to [[beat]] 8-7 lead over Red Sox.<SPLIT>The half-inning took THIRTY&#[[two]];",0.016470134258270264,0.03024876117706299,2,2,2,148,"Failed"
"@KingEgo if I can get this [[bitch]] to go --&gt;&gt; @Wisdom_Stature","@KingEgo if I can get this [[book]] to go --&gt;&gt; @Wisdom_Stature",0.007160186767578125,0.983578085899353,1,2,1,58,"Successful"
"""I'm probably your main [[bitch]] chocolate dipped cinnamon apple""","""I'm probably your main [[enemy]] chocolate dipped cinnamon apple""",0.009483158588409424,0.9890381693840027,1,2,1,46,"Successful"
"RT @SSNAlerts: Rick Scott takes 49% of vote, [[Charlie]] Crist takes 46%. Scott wins second term: http://t.co/MmkyGCYVG1 #sayfie #[[FlaPol]] [[http]]:/&#8230;","RT @SSNAlerts: Rick Scott takes 49% of vote, [[kerry]] Crist takes 46%. Scott wins second term: http://t.co/MmkyGCYVG1 #sayfie #[[n]] [[ns]]:/&#8230;",0.01878732442855835,0.028949618339538574,2,2,2,95,"Failed"
"1 thang i know these bitches come n [[go]] so [[keep]] em out your bussiness","1 thang i know these bitches come n [[u]] so [[get]] em out your bussiness",0.011526405811309814,0.016848444938659668,1,1,1,17,"Failed"
"@yaboysloth you [[pissing]] in my trash can again?","@yaboysloth you [[stuff]] in my trash can again?",0.15650922060012817,0.9800383448600769,1,2,1,51,"Successful"
"@GWDrums @samzbikowski Oh, wait! *""can I get that photo of me playin with Creed's SIDE PROJECT by itself?"" My bad. Yeah, FOB is [[embarrassing]]","@GWDrums @samzbikowski Oh, wait! *""can I get that photo of me playin with Creed's SIDE PROJECT by itself?"" My bad. Yeah, FOB is [[fucking]]",0.025456547737121582,0.9937485456466675,2,1,2,19,"Successful"
"I got a surprise for you [[bitches]]","I got a surprise for you [[tomorrow]]",0.008384287357330322,0.9808313250541687,1,2,1,24,"Successful"
"i get what that girls [[point]] [[seems]] to be but colored people died during the holocaust and 9/[[11]]. ((if that's a picture of the holocaust idk))","i get what that girls [[are]] [[supposed]] to be but colored people died during the holocaust and 9/[[11th]]. ((if that's a picture of the holocaust idk))",0.030336201190948486,0.0411144495010376,2,2,2,24,"Failed"
"@rhythmixx_ why you gotta [[hoe]] me like that","@rhythmixx_ why you gotta [[marry]] me like that",0.009428262710571289,0.902779221534729,1,2,1,54,"Successful"
"RT @Loyalboy_brown: Unt really [[fucking]] suck this year... Smh how did they get right back to trash in one season","RT @Loyalboy_brown: Unt really [[has]] suck this year... Smh how did they get right back to trash in one season",0.03567582368850708,0.9691154956817627,1,2,1,42,"Successful"
"RT @RaiAllure: ""yo [[bitch]] chose me you aint a pimp you a FAIRY."" #ripPimpC","RT @RaiAllure: ""yo [[ve]] chose me you aint a pimp you a FAIRY."" #ripPimpC",0.008065581321716309,0.980653703212738,1,2,1,44,"Successful"
"@BeenBasedB do this [[nigga]] think he mick foley ?","@BeenBasedB do this [[game]] think he mick foley ?",0.2682393789291382,0.9894229769706726,1,2,1,42,"Successful"
"Not every [[girl]] likes a [[sweet]] ass emoji ass nigguh. [[Some]] [[girls]] like a ""you sexy af"" ass nigguh","Not every [[lady]] likes a [[stupid]] ass emoji ass nigguh. [[some]] [[women]] like a ""you sexy af"" ass nigguh",0.17782920598983765,0.40950703620910645,1,1,1,71,"Failed"
"@AnthonyCumia <SPLIT>You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value","@AnthonyCumia <SPLIT>You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value",0.720476508140564,0.720476508140564,2,2,0,1,"Skipped"
"@ItsMander<SPLIT>Is you sure you [[ain't]] colored?","@ItsMander<SPLIT>Is you sure you [[sound]] colored?",0.4038888216018677,0.9676930904388428,1,2,1,35,"Successful"
"RT @TycoTatts: *hits [[blunt*]]<SPLIT><SPLIT>""[[bruh]] if she tells me to [[go]] text my other hoes, but she's one of my hoes, do [[I]] keep texting her ? [[http]]://t.[[co]]/&#8230;","RT @TycoTatts: *hits [[tar]]<SPLIT><SPLIT>""[[today]] if she tells me to [[keep]] text my other hoes, but she's one of my hoes, do [[my]] keep texting her ? [[tel]]://t.[[tel]]/&#8230;",0.008750200271606445,0.028874635696411133,1,1,1,121,"Failed"
"&#8220;@[[OhShitItsRandy]]: Remember this bro? &#128514; @BrianLovesAss_ http://t.co/RAurUW7mY6&#8221;niggah don't show people this &#128514;&#128514;&#128557;&#128567;","&#8220;@[[mark]]: Remember this bro? &#128514; @BrianLovesAss_ http://t.co/RAurUW7mY6&#8221;niggah don't show people this &#128514;&#128514;&#128557;&#128567;",0.11883878707885742,0.15294253826141357,1,1,1,87,"Failed"
"RT @[[SoTrippyWhit]]: &#8220;@[[laaaeee]]: [[I]] swear to god Whitney is a Regina George. &#128128; [[http]]://t.co/[[bttoCzQK5S]]&#8221; [[wow]] im a bitch &#128123;","RT @[[p]]: &#8220;@[[jp]]: [[we]] swear to god Whitney is a Regina George. &#128128; [[tb]]://t.co/[[news]]&#8221; [[v]] im a bitch &#128123;",0.0071936845779418945,0.01046532392501831,1,1,1,121,"Failed"
"""@BitchJones92: Get worshiping [[bitch]]! [[http]]://t.co/[[R37CejCjou]]"" [[woof]] [[woof]]","""@BitchJones92: Get worshiping [[numbers]]! [[isbn]]://t.co/[[html]]"" [[html]] [[wikipedia]]",0.008804798126220703,0.5437906980514526,1,2,1,153,"Successful"
"Seven [[digits]] niggas, [[two]] [[commas]] [[hoe]].","Seven [[fucking]] niggas, [[nine]] [[gay]] [[sticks]].",0.08705586194992065,0.5163342952728271,1,0,1,101,"Successful"
"You [[think]] America has crooked laws?Women in other [[countries]] [[get]] executed in the street for shoning.You American hoes wouldn't [[make]] it.","You [[people]] America has crooked laws?Women in other [[nations]] [[people]] executed in the street for shoning.You American hoes wouldn't [[deny]] it.",0.06968599557876587,0.3388345241546631,1,1,1,111,"Failed"
"Awwwwww they no Kaep ain't rape no [[bitch]]!!!!","Awwwwww they no Kaep ain't rape no [[children]]!!!!",0.01656019687652588,0.5948095917701721,1,2,1,46,"Successful"
"RT @kishtwistemup: Life to short to be salty.. get u some [[pussy]] be happy","RT @kishtwistemup: Life to short to be salty.. get u some [[s]] be happy",0.007931113243103027,0.9763756394386292,1,2,1,15,"Successful"
"This Mexican [[bitch]] almost just hit me with her car and she sped over the speed bump JUST SO SHE COULD DO IT OMFG","This Mexican [[bastard]] almost just hit me with her car and she sped over the speed bump JUST SO SHE COULD DO IT OMFG",0.009585380554199219,0.7316716313362122,1,2,1,28,"Successful"
"' I'm hard to kill &#1041653; , I'm countin cake up with ma finest [[bitch]] &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; .","' I'm hard to kill &#1041653; , I'm countin cake up with ma finest [[y]] &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; .",0.0082969069480896,0.9133810997009277,1,2,1,26,"Successful"
"Salute a real nicca http://t.co/3fOYAYwLWS","Salute a real nicca http://t.co/3fOYAYwLWS",0.5525226593017578,0.5525226593017578,2,2,1,1,"Skipped"
"[[What]] is this the @Yankees are doing today? [[Using]] those wooden things and [[making]] it all the way around the [[bases]]? Weird.","[[what]] is this the @Yankees are doing today? [[bringing]] those wooden things and [[doing]] it all the way around the [[base]]? Weird.",0.016941845417022705,0.019035160541534424,2,2,2,28,"Failed"
"Including ya size [[hoe]] !","Including ya size [[dog]] !",0.015225112438201904,0.9796697497367859,1,2,1,34,"Successful"
"[[yet]] this [[nigga]] [[still]] [[checkin]] up on his [[old]] [[hoes]].....","[[here]] this [[poet]] [[here]] [[speaks]] up on his [[own]] [[gang]].....",0.048408329486846924,0.9012452960014343,1,2,1,180,"Successful"
"Happy birthday [[fag]] @collin_geer love ya","Happy birthday [[charlie]] @collin_geer love ya",0.27507084608078003,0.9567416310310364,1,2,1,44,"Successful"
"i gotta team of [[hoes]] like pat summit..","i gotta team of [[aces]] like pat summit..",0.011517643928527832,0.9819627404212952,1,2,1,51,"Successful"
"[[RT]] @[[pgammo]]: [[Run]] [[Differentials]]:Mets -14, Yankees -32.","[[ties]] @[[school]]: [[po]] [[sp]]:Mets -14, Yankees -32.",0.01431572437286377,0.017073631286621094,2,2,2,160,"Failed"
"@MTBornnard it's got good mojo for sure. Paybacks a [[bitch]]","@MTBornnard it's got good mojo for sure. Paybacks a [[game]]",0.0347253680229187,0.9529916644096375,1,2,1,46,"Successful"
"RT @varepall: Charlie Rangel on GOP: They '[[believe]] slavery isn't over' [[http]]://t.co/I8nolg9m6O<SPLIT><SPLIT>[[RANGEL]] IS A FLAGRANT TAX EVADER [[AND]] RACIST","RT @varepall: Charlie Rangel on GOP: They '[[n]] slavery isn't over' [[dd]]://t.co/I8nolg9m6O<SPLIT><SPLIT>[[someone]] IS A FLAGRANT TAX EVADER [[damn]] RACIST",0.3407652974128723,0.8404409289360046,2,0,2,121,"Successful"
"[[A]] [[lot]] of [[I]] [[fucked]] up [[call]] me [[back]] this [[bitch]] is [[tripping]] .. [[Lol]]","[[those]] [[gang]] of [[them]] [[shut]] up [[fuck]] me [[to]] this [[fuck]] is [[fucking]] .. [[fucking]]",0.008483052253723145,0.36776989698410034,1,1,1,227,"Failed"
"That awkward [[moment]] when you hold the door for someone and they [[use]] the door [[next]] to it.. Like bitch you better back the fuck up.","That awkward [[situation]] when you hold the door for someone and they [[force]] the door [[on]] to it.. Like bitch you better back the fuck up.",0.016360700130462646,0.022508978843688965,1,1,1,36,"Failed"
"All of my [[bitches]] know they temporary","All of my [[guards]] know they temporary",0.007994115352630615,0.9804672598838806,1,2,1,55,"Successful"
"Brackin in da [[bity]] boolin wit [[sum]] [[bitches]] [[straight]] bleedin","Brackin in da [[tin]] boolin wit [[tin]] [[di]] [[c]] bleedin",0.0273970365524292,0.8540216684341431,1,2,1,149,"Successful"
"I'm literally about to scream and throw a [[bitch]] fit if people don't hurry the fuck up.","I'm literally about to scream and throw a [[fucking]] fit if people don't hurry the fuck up.",0.016064822673797607,0.08535951375961304,1,1,1,14,"Failed"
"RT @ISLANDBOI_RAMBO: @1stBlocJeremiah that hoe [[starleasha]] i heard she give uh nigga [[good]] ass education Lmao","RT @ISLANDBOI_RAMBO: @1stBlocJeremiah that hoe [[thing]] i heard she give uh nigga [[n]] ass education Lmao",0.09864425659179688,0.1509128212928772,1,1,1,30,"Failed"
"Idgaf about you, or ya mens, ya bitch, none of these [[bitches]]. Y'all all can fuck off for all i care.","Idgaf about you, or ya mens, ya bitch, none of these [[bastards]]. Y'all all can fuck off for all i care.",0.030224323272705078,0.06675946712493896,1,1,1,26,"Failed"
"@munafal777 karma is a [[bitch]]","@munafal777 karma is a [[game]]",0.016386866569519043,0.9699702858924866,1,2,1,36,"Successful"
"RT @LeBronVuitton: It's the most annoying shit in the world when a bitch [[start]] [[talkin]] bout something then say ""nevermind""","RT @LeBronVuitton: It's the most annoying shit in the world when a bitch [[quit]] [[talking]] bout something then say ""nevermind""",0.008825063705444336,0.011077642440795898,1,1,1,37,"Failed"
"I'm a stretch that [[pussy]] out","I'm a stretch that [[points]] out",0.006553709506988525,0.9869427680969238,1,2,1,54,"Successful"
"RT @[[SaraLuvvXXX]]: Today @GlennAlfonso did my hair and makeup.. He [[always]] [[tries]] to [[make]] me look like a monkey. http://t.co/tym2JD7h3Z","RT @[[co]]: Today @GlennAlfonso did my hair and makeup.. He [[even]] [[bothered]] to [[have]] me look like a monkey. http://t.co/tym2JD7h3Z",0.03913754224777222,0.15222948789596558,2,2,2,97,"Failed"
"Fuck ya main [[hoe]] now she claimin mob hav her brake ya heart wen [[I]] rob [[ya]] inda daark","Fuck ya main [[da]] now she claimin mob hav her brake ya heart wen [[you]] rob [[u]] inda daark",0.047237396240234375,0.1864020824432373,1,1,1,43,"Failed"
"I'd [[hit]] a Kardashian she threw money at me bruh somebody would have to [[pull]] me off that hoe idgaf who she is. Nobody to me anyway lol","I'd [[kill]] a Kardashian she threw money at me bruh somebody would have to [[pick]] me off that hoe idgaf who she is. Nobody to me anyway lol",0.030659258365631104,0.1702103614807129,1,1,1,71,"Failed"
"[[When]] it [[come]] to [[bitches]].... niggas will get [[dirty]]","[[here]] it [[sticks]] to [[people]].... niggas will get [[white]]",0.13328659534454346,0.6119562387466431,1,0,1,116,"Successful"
"RT @[[linnyitssn]]: No teabaggers, 9/11 is not about Benghazi, it's about those [[planes]] and those towers. Stop watching Fox [[News]].","RT @[[com]]: No teabaggers, 9/11 is not about Benghazi, it's about those [[bastards]] and those towers. Stop watching Fox [[news]].",0.032913923263549805,0.954125165939331,2,1,2,56,"Successful"
"""@PatrickQuelo: [[If]] [[yo]] [[girl]] [[cant]] have homeboys you a [[ol]] [[weak]] [[bitch]] ass nigga!""","""@PatrickQuelo: [[like]] [[fucking]] [[people]] [[should]] have homeboys you a [[stupid]] [[fat]] [[fucking]] ass nigga!""",0.12403517961502075,0.5221705436706543,1,0,1,160,"Successful"
"[[bitch]] [[niggas]] [[owe]] me [[money]]","[[fucking]] [[psycho]] [[whip]] me [[bloody]]",0.1398370862007141,0.5224518775939941,1,0,1,78,"Successful"
"this [[ho]] on Lifetime cray","this [[works]] on Lifetime cray",0.039826035499572754,0.9843602180480957,1,2,1,54,"Successful"
"&#8220;@[[MannyKream_G]]: [[Birthday]] [[Weekend]] [[starts]] [[today]]&#8221; Shut yo [[hoe]] [[ass]] up","&#8220;@[[employee]]: [[business]] [[id]] [[means]] [[company]]&#8221; Shut yo [[bloody]] [[nose]] up",0.020495593547821045,0.6177876591682434,1,0,1,218,"Successful"
"@Raul_leura @no_way_hoesaaay lmao that [[nigga]] was about to [[go]] [[Beethoven]] on that [[bitch]] &#128514;","@Raul_leura @no_way_hoesaaay lmao that [[lizard]] was about to [[spit]] [[blood]] on that [[wall]] &#128514;",0.047148942947387695,0.42577940225601196,1,1,1,230,"Failed"
"Pass them sticks [[bitch]]!!!!!!!","Pass them sticks [[py]]!!!!!!!",0.013460695743560791,0.9785684943199158,1,2,1,19,"Successful"
"[[EXPOSED]]: Jihadi kidnap and murder handbook... and [[plan]] to infiltrate [[British]] Army and police http://t.co/gkP1vG6Pnw via @[[wordpressdotcom]]","[[see]]: Jihadi kidnap and murder handbook... and [[trying]] to infiltrate [[british]] Army and police http://t.co/gkP1vG6Pnw via @[[x]]",0.11482638120651245,0.16881150007247925,2,2,2,41,"Failed"
"@britneyspears not that it matters but [[im]] proud of ur little ass! im n old southern [[bitch]]. hang n there baby!","@britneyspears not that it matters but [[bloody]] proud of ur little ass! im n old southern [[people]]. hang n there baby!",0.018190503120422363,0.14292919635772705,1,1,1,52,"Failed"
"Chicago [[hoes]] love pink lipstick &#128530;&#128533;","Chicago [[color]] love pink lipstick &#128530;&#128533;",0.009765625,0.978622317314148,1,2,1,41,"Successful"
"@OG_HARM @moetzart @duckydynamo look at this [[nigger]] ass [[nigger]] shit right here","@OG_HARM @moetzart @duckydynamo look at this [[sweet]] ass [[little]] shit right here",0.3827539086341858,0.9488117098808289,0,1,0,57,"Successful"
"@Tayscalf @protrill fuck [[em]] [[right]] in the [[pussy]]","@Tayscalf @protrill fuck [[ment]] [[kill]] in the [[flesh]]",0.09700626134872437,0.6707848310470581,1,0,1,103,"Successful"
"[[RT]] @[[trapgrampa]]: [[I]] [[fucked]] [[ur]] [[bitch]] after [[I]] [[got]] [[bingo]]","[[bitch]] @[[u]]: [[you]] [[killed]] [[black]] [[whore]] after [[you]] [[fucked]] [[bloody]]",0.011506497859954834,0.42450058460235596,1,1,1,256,"Failed"
"@AsvpRvchel @kittty_jpg nah that [[bitch]] stank","@AsvpRvchel @kittty_jpg nah that [[stuff]] stank",0.013692200183868408,0.9397708773612976,1,2,1,34,"Successful"
"#xfactorau sick of guys who sing like [[pussies]]. Where are the rock type men?","#xfactorau sick of guys who sing like [[birds]]. Where are the rock type men?",0.038118839263916016,0.9859752655029297,1,2,1,48,"Successful"
"@BodyByMalone Lesson 12 don't pass out at before 12 like a lil [[bitch]]","@BodyByMalone Lesson 12 don't pass out at before 12 like a lil [[ion]]",0.006084024906158447,0.9874201416969299,1,2,1,54,"Successful"
"@Huntermoore happy cuz I woke up white and not a [[nigger]]!","@Huntermoore happy cuz I woke up white and not a [[bird]]!",0.33438682556152344,0.9722146391868591,0,2,0,55,"Successful"
"#[[porn]],#[[android]],#[[iphone]],#[[ipad]],#[[sex]],#[[xxx]], | #Lingerie | [[Bitch]] in lingerie getting her wet cunt pounded http://t.co/Jp4r2vPyCb","#[[ufo]],#[[islam]],#[[linux]],#[[religion]],#[[islam]],#[[pornography]], | #Lingerie | [[people]] in lingerie getting her wet cunt pounded http://t.co/Jp4r2vPyCb",0.013115763664245605,0.46918535232543945,1,1,1,275,"Failed"
"RT @POONsoaker: Her [[pussy]] A1 if she can quote over 15 boosie quotes","RT @POONsoaker: Her [[book]] A1 if she can quote over 15 boosie quotes",0.008369863033294678,0.9853704571723938,1,2,1,48,"Successful"
"RT @hodgeasia: All the [[bitches]] who called me a hoe in high school got like 2-3 kids now..","RT @hodgeasia: All the [[idiots]] who called me a hoe in high school got like 2-3 kids now..",0.007962703704833984,0.03370308876037598,1,1,1,27,"Failed"
"idgaf bout no basic [[bitch]]","idgaf bout no basic [[game]]",0.006875574588775635,0.9843288064002991,1,2,1,50,"Successful"
"RT @sassytbh: a girl tweeted ""you [[might]] be ghetto if u bring food from outside into the [[movies]]""<SPLIT><SPLIT>no u might be stupid if u pay 4.99 for a b&#8230;","RT @sassytbh: a girl tweeted ""you [[should]] be ghetto if u bring food from outside into the [[pub]]""<SPLIT><SPLIT>no u might be stupid if u pay 4.99 for a b&#8230;",0.17183488607406616,0.5251407623291016,2,1,2,95,"Successful"
"RT @grind2times: I don't think I even been in a real relationship...i [[thought]] they was real but they were just trash","RT @grind2times: I don't think I even been in a real relationship...i [[mean]] they was real but they were just trash",0.028552353382110596,0.03815335035324097,2,2,2,55,"Failed"
"Smoke sum [[bitch]]","Smoke sum [[mation]]",0.00987255573272705,0.9825596809387207,1,2,1,47,"Successful"
"Know you didn't see it but I know you [[bitches]] heard it","Know you didn't see it but I know you [[can]] heard it",0.009724617004394531,0.9600021839141846,1,2,1,22,"Successful"
"How bout them [[redskins]]?","How bout them [[women]]?",0.05190509557723999,0.5830602645874023,2,1,2,22,"Successful"
"With my best [[bitches]] @nerissaloren @robertenders http://t.co/nsNgQ3q0","With my best [[guide]] @nerissaloren @robertenders http://t.co/nsNgQ3q0",0.00818544626235962,0.9839322566986084,1,2,1,53,"Successful"
"You're all just [[crows]] on the power [[lines]].","You're all just [[screwing]] on the power [[outlet]].",0.021800220012664795,0.9670635461807251,2,1,2,97,"Successful"
"Can you [[really]] [[take]] dick or nah?<SPLIT>Can [[I]] bring another [[bitch]] or [[nah]]?","Can you [[even]] [[fuck]] dick or nah?<SPLIT>Can [[you]] bring another [[whore]] or [[whore]]?",0.022231340408325195,0.507004976272583,1,0,1,146,"Successful"
"RT @FunnyJokeBook: If your tweets have never offended anyone, then you tweet like a little [[bitch]].","RT @FunnyJokeBook: If your tweets have never offended anyone, then you tweet like a little [[bit]].",0.008488833904266357,0.9100321531295776,1,2,1,31,"Successful"
"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so [[much]], you don't have the guts to do it. <SPLIT>#IStandWithIsr&#8230;","RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so [[harshly]], you don't have the guts to do it. <SPLIT>#IStandWithIsr&#8230;",0.4212694764137268,0.6393443942070007,2,0,2,49,"Successful"
"I only respect [[bitches]] that respect theyself.# truu","I only respect [[children]] that respect theyself.# truu",0.006722986698150635,0.9887283444404602,1,2,1,28,"Successful"
"RT @ThugLifeIsDead: best twitter beef all time was when @Vidal_Lucia called out Barbara [[hoe]] ass for cheating on her college bf with some pa&#8230;","RT @ThugLifeIsDead: best twitter beef all time was when @Vidal_Lucia called out Barbara [[y]] ass for cheating on her college bf with some pa&#8230;",0.016736984252929688,0.02124565839767456,1,1,1,20,"Failed"
